t_over_theta,p_tau0,impulse_tau0,p_tau0.25,impulse_tau0.25,p_tau1,impulse_tau1,p_tau4,impulse_tau4
6.500000000000e-02,1.419463139791e+00,1.026655983192e-01,9.973368822528e-01,7.213444637769e-02,9.973368822528e-01,7.213444637769e-02,9.973368822528e-01,7.213444637769e-02
7.000000000000e-02,1.412383537846e+00,1.097275160085e-01,9.923626438007e-01,7.709625959669e-02,9.923626438007e-01,7.709625959669e-02,9.923626438007e-01,7.709625959669e-02
7.500000000000e-02,1.405339245563e+00,1.167542122363e-01,9.874132144663e-01,8.203332566902e-02,9.874132144663e-01,8.203332566902e-02,9.874132144663e-01,8.203332566902e-02
8.000000000000e-02,1.398330086834e+00,1.237458626705e-01,9.824884705137e-01,8.694576802159e-02,9.824884705137e-01,8.694576802159e-02,9.824884705137e-01,8.694576802159e-02
8.500000000000e-02,1.391355886431e+00,1.307026421026e-01,9.775882888241e-01,9.183370946571e-02,9.775882888241e-01,9.183370946571e-02,9.775882888241e-01,9.183370946571e-02
9.000000000000e-02,1.384416469997e+00,1.376247244526e-01,9.727125468926e-01,9.669727220018e-02,9.727125468926e-01,9.669727220018e-02,9.727125468926e-01,9.669727220018e-02
9.500000000000e-02,1.377511664047e+00,1.445122827728e-01,9.678611228254e-01,1.015365778143e-01,9.678611228254e-01,1.015365778143e-01,9.678611228254e-01,1.015365778143e-01
1.000000000000e-01,1.370641295960e+00,1.513654892526e-01,9.630338953368e-01,1.063517472910e-01,9.630338953368e-01,1.063517472910e-01,9.630338953368e-01,1.063517472910e-01
1.050000000000e-01,1.363805193977e+00,1.581845152225e-01,9.582307437456e-01,1.111429010097e-01,9.582307437456e-01,1.111429010097e-01,9.582307437456e-01,1.111429010097e-01
1.100000000000e-01,1.357003187195e+00,1.649695311585e-01,9.534515479730e-01,1.159101587496e-01,9.534515479730e-01,1.159101587496e-01,9.534515479730e-01,1.159101587496e-01
1.150000000000e-01,1.350235105563e+00,1.717207066863e-01,9.486961885387e-01,1.206536396923e-01,9.486961885387e-01,1.206536396923e-01,9.486961885387e-01,1.206536396923e-01
1.200000000000e-01,1.343500779879e+00,1.784382105857e-01,9.439645465585e-01,1.253734624251e-01,9.439645465585e-01,1.253734624251e-01,9.439645465585e-01,1.253734624251e-01
1.250000000000e-01,1.336800041785e+00,1.851222107946e-01,9.392565037412e-01,1.300697449438e-01,9.392565037412e-01,1.300697449438e-01,9.392565037412e-01,1.300697449438e-01
1.300000000000e-01,1.330132723761e+00,1.917728744134e-01,9.345719423854e-01,1.347426046557e-01,9.345719423854e-01,1.347426046557e-01,9.345719423854e-01,1.347426046557e-01
1.350000000000e-01,1.323498659125e+00,1.983903677090e-01,9.299107453768e-01,1.393921583826e-01,9.299107453768e-01,1.393921583826e-01,9.299107453768e-01,1.393921583826e-01
1.400000000000e-01,1.316897682024e+00,2.049748561192e-01,9.252727961853e-01,1.440185223635e-01,9.252727961853e-01,1.440185223635e-01,9.252727961853e-01,1.440185223635e-01
1.450000000000e-01,1.310329627434e+00,2.115265042563e-01,9.206579788619e-01,1.486218122578e-01,9.206579788619e-01,1.486218122578e-01,9.206579788619e-01,1.486218122578e-01
1.500000000000e-01,1.303794331153e+00,2.180454759121e-01,9.160661780359e-01,1.532021431480e-01,9.160661780359e-01,1.532021431480e-01,9.160661780359e-01,1.532021431480e-01
1.550000000000e-01,1.297291629798e+00,2.245319340611e-01,9.114972789120e-01,1.577596295426e-01,9.114972789120e-01,1.577596295426e-01,9.114972789120e-01,1.577596295426e-01
1.600000000000e-01,1.290821360801e+00,2.309860408651e-01,9.069511672676e-01,1.622943853789e-01,9.069511672676e-01,1.622943853789e-01,9.069511672676e-01,1.622943853789e-01
1.650000000000e-01,1.284383362405e+00,2.374079576771e-01,9.024277294497e-01,1.668065240261e-01,9.024277294497e-01,1.668065240261e-01,9.024277294497e-01,1.668065240261e-01
1.700000000000e-01,1.277977473661e+00,2.437978450454e-01,8.979268523719e-01,1.712961582880e-01,8.979268523719e-01,1.712961582880e-01,8.979268523719e-01,1.712961582880e-01
1.750000000000e-01,1.271603534420e+00,2.501558627175e-01,8.934484235123e-01,1.757634004056e-01,8.934484235123e-01,1.757634004056e-01,8.934484235123e-01,1.757634004056e-01
